"lon","lat","七福神めぐりの名称","七福神めぐりの公式サイト","札所の名称","札所の詳名・別名","札所の宗旨・宗派","札所の福神","札所の公式サイト","札所のウィキペディア"
139.796056,35.715062,"浅草名所七福神","http://www.asakusa7.jp/","浅草寺","金龍山浅草寺","聖観音宗","大黒天","http://www.senso-ji.jp/","https://ja.wikipedia.org/wiki/浅草寺"
139.797418,35.715007,"浅草名所七福神","http://www.asakusa7.jp/","浅草神社",,,"恵比寿","http://www.asakusajinja.jp/","https://ja.wikipedia.org/wiki/浅草神社"
139.802958,35.717353,"浅草名所七福神","http://www.asakusa7.jp/","待乳山聖天","待乳山本龍院","聖観音宗","毘沙門天","http://www.matsuchiyama.jp/","https://ja.wikipedia.org/wiki/本龍院"
139.80352,35.719306,"浅草名所七福神","http://www.asakusa7.jp/","今戸神社",,,"福禄寿","https://imadojinja1063.crayonsite.net/","https://ja.wikipedia.org/wiki/今戸神社"
139.807876,35.727022,"浅草名所七福神","http://www.asakusa7.jp/","橋場不動尊","砂尾山橋場寺不動院","天台宗","布袋尊","http://www.fudoin.jp/",
139.808383,35.729773,"浅草名所七福神","http://www.asakusa7.jp/","石浜神社",,,"寿老人","http://www.ishihamajinja.jp/",
139.793328,35.722852,"浅草名所七福神","http://www.asakusa7.jp/","吉原神社",,,"弁財天","http://yoshiwarajinja.tokyo-jinjacho.or.jp/",
139.791936,35.722513,"浅草名所七福神","http://www.asakusa7.jp/","鷲神社",,,"寿老人","http://www.otorisama.or.jp/","https://ja.wikipedia.org/wiki/鷲神社_(台東区)"
139.787558,35.713511,"浅草名所七福神","http://www.asakusa7.jp/","矢先稲荷神社",,,"福禄寿",,
139.53017,35.658339,"調布七福神","http://www.chofu-7fukujin.com/","西光寺","長谷山西光寺","天台宗","大黒天",,
139.545711,35.655323,"調布七福神","http://www.chofu-7fukujin.com/","大正寺","三栄山大正寺","真言宗","恵比寿",,
139.550427,35.667555,"調布七福神","http://www.chofu-7fukujin.com/","深大寺","浮岳山深大寺","天台宗","毘沙門天","http://www.jindaiji.or.jp/","https://ja.wikipedia.org/wiki/深大寺"
139.555383,35.6594,"調布七福神","http://www.chofu-7fukujin.com/","祇園寺","虎狛山祇園寺","天台宗","福禄寿",,
139.551491,35.651474,"調布七福神","http://www.chofu-7fukujin.com/","常性寺","医王山長楽院常性寺","真言宗","布袋尊","http://www.josyoji.jp/",
139.583023,35.650087,"調布七福神","http://www.chofu-7fukujin.com/","明照院","大悲山明照院","天台宗","弁財天",,
139.584963,35.664246,"調布七福神","http://www.chofu-7fukujin.com/","昌翁寺","大慈山昌翁寺","天台宗","寿老人",,
139.699477,35.611894,"荏原七福神","http://ebara-shichifuku.com/","小山八幡神社",,,"大国天",,"https://ja.wikipedia.org/wiki/小山八幡神社"
139.700349,35.611784,"荏原七福神","http://ebara-shichifuku.com/","摩耶寺","仏母山摩耶寺","日蓮宗","寿老人",,"https://ja.wikipedia.org/wiki/摩耶寺"
139.708156,35.604253,"荏原七福神","http://ebara-shichifuku.com/","法蓮寺","八幡山法蓮寺","日蓮宗","恵比寿","http://www.hourenji.or.jp/","https://ja.wikipedia.org/wiki/法蓮寺_(品川区)"
139.7152,35.6026,"荏原七福神","http://ebara-shichifuku.com/","上神明天祖神社","蛇窪神社",,"弁財天","http://hebikubo.jp/","https://ja.wikipedia.org/wiki/蛇窪神社"
139.717167,35.596977,"荏原七福神","http://ebara-shichifuku.com/","養玉院如来寺","帰命山養玉院如来寺","天台宗","布袋尊","http://yougyokuin.com/","https://ja.wikipedia.org/wiki/養玉院"
139.726739,35.605517,"荏原七福神","http://ebara-shichifuku.com/","東光寺","久遠山不動院東光寺","天台宗","毘沙門天","http://toukouji.nettemple.jp/",
139.731459,35.607506,"荏原七福神","http://ebara-shichifuku.com/","大井蔵王権現神社",,,"福禄寿",,
139.464781,35.347425,"藤沢七福神",,"養命寺","引地山養命寺","曹洞宗","布袋尊",,"https://ja.wikipedia.org/wiki/養命寺_(藤沢市)"
139.472896,35.341554,"藤沢七福神",,"皇大神宮","鵠沼皇大神宮",,"恵比寿","http://www.koudaijinguu.com/","https://ja.wikipedia.org/wiki/皇大神宮_(藤沢市)"
139.47865,35.35053,"藤沢七福神",,"白旗神社",,,"毘沙門天","http://shirahata-jinja.jp/","https://ja.wikipedia.org/wiki/白旗神社_(藤沢市)"
139.481445,35.346917,"藤沢七福神",,"常光寺","八王山摂取院常光寺","浄土宗","福禄寿",,"https://ja.wikipedia.org/wiki/常光寺_(藤沢市)"
139.48975,35.348317,"藤沢七福神",,"諏訪神社",,,"大黒天",,"https://ja.wikipedia.org/wiki/諏訪神社_(藤沢市大鋸)"
139.489014,35.345946,"藤沢七福神",,"感応院","三島山瑞光寺感応院","高野山真言宗","寿老人",,"https://ja.wikipedia.org/wiki/感応院_(藤沢市)"
139.479599,35.300363,"藤沢七福神",,"江島神社",,,"弁財天","http://enoshimajinja.or.jp/","https://ja.wikipedia.org/wiki/江島神社"
139.48937,35.311735,"藤沢七福神",,"龍口寺","寂光山龍口寺","日蓮宗","毘沙門天","http://ryukoji.jp/","https://ja.wikipedia.org/wiki/龍口寺"
139.79956,35.671873,"深川七福神","http://www.fukagawa7.net/","富岡八幡宮",,,"恵比寿","http://www.tomiokahachimangu.or.jp/","https://ja.wikipedia.org/wiki/富岡八幡宮"
139.80017,35.675375,"深川七福神","http://www.fukagawa7.net/","冬木弁天堂","宝珠山冬木弁天堂","真言宗","弁財天",,
139.797005,35.676053,"深川七福神","http://www.fukagawa7.net/","心行寺","双修山養源院心行寺","浄土宗","福禄寿","http://www.shingyoji.or.jp/",
139.800932,35.678624,"深川七福神","http://www.fukagawa7.net/","円珠院",,"日蓮宗","大黒天",,
139.803544,35.68001,"深川七福神","http://www.fukagawa7.net/","龍光院",,"浄土宗","毘沙門天",,
139.796882,35.682916,"深川七福神","http://www.fukagawa7.net/","深川稲荷神社",,,"布袋尊",,
139.797319,35.686588,"深川七福神","http://www.fukagawa7.net/","深川神明宮",,,"寿老人","http://www.fukagawa-shinmei.com/",
139.330091,35.655477,"八王子七福神","https://hachihukujin.net/","本立寺","長光山本立寺","日蓮宗","毘沙門天","http://www.honryuji.com/","https://ja.wikipedia.org/wiki/本立寺_(八王子市)"
139.330726,35.658836,"八王子七福神","https://hachihukujin.net/","伝法院","成田山伝法院","真言宗","恵比寿",,
139.327148,35.65681,"八王子七福神","https://hachihukujin.net/","金剛院","慈高山金剛院","高野山真言宗","福禄寿","http://www.kongoin.or.jp/",
139.321924,35.656203,"八王子七福神","https://hachihukujin.net/","信松院","金龍山信松院","曹洞宗","布袋尊","http://shinshouin.or.jp/","https://ja.wikipedia.org/wiki/信松院"
139.322872,35.662288,"八王子七福神","https://hachihukujin.net/","善龍寺","興栄山善龍寺","日蓮宗","大黒天",,
139.316188,35.660583,"八王子七福神","https://hachihukujin.net/","了法寺","松栄山了法寺","日蓮宗","弁財天","http://ryohoji.jp/","https://ja.wikipedia.org/wiki/了法寺"
139.310048,35.659849,"八王子七福神","https://hachihukujin.net/","宗格院","良价山宗格院","曹洞宗","寿老人",,"https://ja.wikipedia.org/wiki/宗格院"
139.30347,35.660843,"八王子七福神","https://hachihukujin.net/","吉祥院","一乗山吉祥院","真言宗","吉祥天",,
139.216429,35.365082,"南はだの村七福神と鶴亀",,"白笹稲荷神社",,,"寿老人","http://shirasasa.or.jp/","https://ja.wikipedia.org/wiki/白笹稲荷神社"
139.21354,35.37101,"南はだの村七福神と鶴亀",,"浄圓寺","大澤山浄圓寺","曹洞宗","布袋尊",,
139.209455,35.37095,"南はだの村七福神と鶴亀",,"出雲大社相模分祠",,,"大黒天","http://www.izumosan.com/","https://ja.wikipedia.org/wiki/出雲大社相模分祠"
139.208449,35.370232,"南はだの村七福神と鶴亀",,"御嶽神社",,,"恵比寿",,
139.205477,35.367339,"南はだの村七福神と鶴亀",,"西光寺","井光山阿弥陀院西光寺","天台宗","毘沙門天","http://tendai-saikouji.com/",
139.210601,35.360911,"南はだの村七福神と鶴亀",,"福寿弁財天",,,"弁財天",,
